date,Day,Month,Year,Column1,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HS,AS,HST,HST %,AST,AST %,HC,AC,HF,AF,HY,AY,HR,AR,ScoreH,ScoreA,Count
26/08/2000,26,8,2000,0.653225806,Arsenal,Charlton,5,3,H,Steve Lodge,18,7,9,0.5,4,0.571428571,8,3,12,15,0,1,0,0,3,0,20
26/08/2000,26,8,2000,0.653225806,Bradford,Leicester,0,0,D,Steve Bennett,8,13,4,0.5,8,0.615384615,6,8,11,12,1,2,0,0,0,3,21
26/08/2000,26,8,2000,0.653225806,Everton,Derby,2,2,D,Mike Riley,12,7,9,0.75,4,0.571428571,11,2,11,9,2,3,0,0,0,3,22
26/08/2000,26,8,2000,0.653225806,Ipswich,Sunderland,1,0,H,Graham Poll,14,9,5,0.357142857,3,0.333333333,7,6,10,12,1,1,0,0,3,0,23
26/08/2000,26,8,2000,0.653225806,Man City,Coventry,1,2,A,Andy D'Urso,14,9,5,0.357142857,8,0.888888889,5,5,7,12,2,3,0,0,1,1,24
26/08/2000,26,8,2000,0.653225806,Middlesbrough,Leeds,1,2,A,Graham Barber,15,16,8,0.533333333,11,0.6875,4,8,12,20,2,0,0,0,1,1,25
26/08/2000,26,8,2000,0.653225806,Newcastle,Tottenham,2,0,H,David Ellaray,15,10,6,0.4,2,0.2,4,2,13,10,0,0,0,0,3,0,26
26/08/2000,26,8,2000,0.653225806,Southampton,Liverpool,3,3,D,Jeff Winter,14,9,7,0.5,4,0.444444444,7,1,7,6,0,0,0,0,0,3,27
26/08/2000,26,8,2000,0.653225806,West Ham,Man United,2,2,D,Dermot Gallagher,17,8,8,0.470588235,5,0.625,7,5,12,9,1,0,0,0,0,3,28
27/08/2000,27,8,2000,0.655913978,Aston Villa,Chelsea,1,1,D,Paul Durkin,12,11,9,0.75,7,0.636363636,7,10,13,12,0,1,0,0,0,3,29
05/09/2000,5,9,2000,0.680107527,Leeds,Man City,1,2,A,Graham Poll,6,8,1,0.166666667,3,0.375,9,4,18,24,2,2,0,0,1,1,30
05/09/2000,5,9,2000,0.680107527,Man United,Bradford,6,0,H,Ian Harris,21,6,12,0.571428571,4,0.666666667,5,1,12,10,0,1,0,0,3,0,31
05/09/2000,5,9,2000,0.680107527,Sunderland,West Ham,1,1,D,Peter Jones,17,16,7,0.411764706,9,0.5625,4,11,19,14,2,3,0,0,0,3,32
05/09/2000,5,9,2000,0.680107527,Tottenham,Everton,3,2,H,Barry Knight,11,11,7,0.636363636,6,0.545454545,7,5,11,10,1,2,0,0,3,0,33
06/09/2000,6,9,2000,0.682795699,Charlton,Southampton,1,1,D,Mark Halsey,8,11,6,0.75,3,0.272727273,10,14,14,16,3,3,1,0,0,3,34
06/09/2000,6,9,2000,0.682795699,Chelsea,Arsenal,2,2,D,Mike Riley,12,13,5,0.416666667,5,0.384615385,7,6,16,22,3,1,0,0,0,3,35
06/09/2000,6,9,2000,0.682795699,Coventry,Newcastle,0,2,A,Alan Wiley,13,13,3,0.230769231,6,0.461538462,6,8,11,18,1,1,0,0,1,1,36
06/09/2000,6,9,2000,0.682795699,Derby,Middlesbrough,3,3,D,Rob Styles,9,5,5,0.555555556,4,0.8,11,5,8,10,3,2,0,0,0,3,37
06/09/2000,6,9,2000,0.682795699,Leicester,Ipswich,2,1,H,Paul Taylor,12,7,6,0.5,3,0.428571429,6,2,12,13,1,1,0,0,3,0,38
06/09/2000,6,9,2000,0.682795699,Liverpool,Aston Villa,3,1,H,Neale Barry,11,9,7,0.636363636,4,0.444444444,8,7,13,7,0,2,0,0,3,0,39
09/09/2000,9,9,2000,0.690860215,Bradford,Arsenal,1,1,D,Alan Wiley,9,18,5,0.555555556,11,0.611111111,4,10,17,13,0,2,0,0,0,3,40
09/09/2000,9,9,2000,0.690860215,Coventry,Leeds,0,0,D,Paul Durkin,9,11,1,0.111111111,5,0.454545455,6,6,15,14,2,2,0,0,0,3,41
09/09/2000,9,9,2000,0.690860215,Ipswich,Aston Villa,1,2,A,Andy D'Urso,15,5,5,0.333333333,2,0.4,5,3,9,13,1,3,0,0,1,1,42
09/09/2000,9,9,2000,0.690860215,Leicester,Southampton,1,0,H,Mike Dean,17,9,6,0.352941176,5,0.555555556,10,6,6,9,0,0,0,0,3,0,43
09/09/2000,9,9,2000,0.690860215,Liverpool,Man City,3,2,H,Graham Barber,14,9,8,0.571428571,7,0.777777778,9,4,17,17,3,4,0,0,3,0,44
09/09/2000,9,9,2000,0.690860215,Man United,Sunderland,3,0,H,Neale Barry,15,5,7,0.466666667,1,0.2,4,4,18,14,1,3,0,0,3,0,45
09/09/2000,9,9,2000,0.690860215,Middlesbrough,Everton,1,2,A,Steve Bennett,9,12,5,0.555555556,9,0.75,7,7,16,5,3,0,0,0,1,1,46
09/09/2000,9,9,2000,0.690860215,Newcastle,Chelsea,0,0,D,Graham Poll,10,10,4,0.4,3,0.3,5,6,17,21,0,3,0,0,0,3,47
10/09/2000,10,9,2000,0.693548387,Derby,Charlton,2,2,D,Peter Jones,12,10,6,0.5,6,0.6,4,11,17,12,3,1,0,0,0,3,48
11/09/2000,11,9,2000,0.696236559,Tottenham,West Ham,1,0,H,Steve Dunn,15,11,7,0.466666667,5,0.454545455,11,3,14,13,1,2,0,0,3,0,49
16/09/2000,16,9,2000,0.709677419,Arsenal,Coventry,2,1,H,Mike Dean,18,6,13,0.722222222,2,0.333333333,8,4,5,13,1,2,0,0,3,0,50
16/09/2000,16,9,2000,0.709677419,Aston Villa,Bradford,2,0,H,Rob Styles,12,8,7,0.583333333,4,0.5,5,6,8,12,0,2,0,0,3,0,51
16/09/2000,16,9,2000,0.709677419,Charlton,Tottenham,1,0,H,Jeff Winter,9,10,5,0.555555556,5,0.5,7,5,8,10,0,0,0,0,3,0,52
16/09/2000,16,9,2000,0.709677419,Everton,Man United,1,3,A,Dermot Gallagher,6,17,4,0.666666667,9,0.529411765,6,5,10,11,4,1,0,0,1,1,53
16/09/2000,16,9,2000,0.709677419,Leeds,Ipswich,1,2,A,Mark Halsey,11,12,6,0.545454545,7,0.583333333,6,3,12,19,1,3,0,0,1,1,54
16/09/2000,16,9,2000,0.709677419,Southampton,Newcastle,2,0,H,Barry Knight,13,10,9,0.692307692,7,0.7,4,8,14,14,0,0,0,0,3,0,55
16/09/2000,16,9,2000,0.709677419,Sunderland,Derby,2,1,H,Paul Taylor,15,10,8,0.533333333,5,0.5,4,5,16,28,2,3,0,0,3,0,56
17/09/2000,17,9,2000,0.712365591,Chelsea,Leicester,0,2,A,Graham Barber,16,7,10,0.625,5,0.714285714,15,3,16,17,3,1,0,0,1,1,57
17/09/2000,17,9,2000,0.712365591,Man City,Middlesbrough,1,1,D,Steve Lodge,11,4,4,0.363636364,2,0.5,9,3,15,11,2,5,0,0,0,3,58
17/09/2000,17,9,2000,0.712365591,West Ham,Liverpool,1,1,D,David Ellaray,15,7,4,0.266666667,2,0.285714286,9,0,5,13,0,2,0,0,0,3,59
23/09/2000,23,9,2000,0.728494624,Bradford,Southampton,0,1,A,Steve Dunn,14,6,6,0.428571429,4,0.666666667,7,5,14,18,3,1,0,0,1,1,60
23/09/2000,23,9,2000,0.728494624,Coventry,West Ham,0,3,A,Neale Barry,9,12,2,0.222222222,10,0.833333333,5,6,12,11,0,1,0,0,1,1,61
23/09/2000,23,9,2000,0.728494624,Derby,Leeds,1,1,D,Barry Knight,13,16,7,0.538461538,6,0.375,7,4,17,15,2,2,1,0,0,3,62
23/09/2000,23,9,2000,0.728494624,Ipswich,Arsenal,1,1,D,Paul Durkin,17,10,6,0.352941176,4,0.4,4,7,8,13,1,2,0,0,0,3,63
23/09/2000,23,9,2000,0.728494624,Liverpool,Sunderland,1,1,D,Mike Riley,11,8,6,0.545454545,3,0.375,12,3,14,18,2,2,0,0,0,3,64
23/09/2000,23,9,2000,0.728494624,Man United,Chelsea,3,3,D,Peter Jones,11,13,5,0.454545455,5,0.384615385,8,4,15,19,3,2,0,0,0,3,65
23/09/2000,23,9,2000,0.728494624,Middlesbrough,Aston Villa,1,1,D,Mark Halsey,12,15,5,0.416666667,7,0.466666667,5,5,7,14,3,0,0,0,0,3,66
23/09/2000,23,9,2000,0.728494624,Newcastle,Charlton,0,1,A,Andy D'Urso,12,4,5,0.416666667,2,0.5,4,7,14,10,1,2,0,0,1,1,67
23/09/2000,23,9,2000,0.728494624,Tottenham,Man City,0,0,D,Steve Bennett,18,7,5,0.277777778,2,0.285714286,5,4,10,14,0,2,0,0,0,3,68
24/09/2000,24,9,2000,0.731182796,Leicester,Everton,1,1,D,Alan Wiley,10,9,4,0.4,3,0.333333333,9,3,14,13,3,1,0,0,0,3,69
30/09/2000,30,9,2000,0.747311828,Aston Villa,Derby,4,1,H,David Ellaray,12,11,7,0.583333333,6,0.545454545,6,6,0,1,1,1,0,0,3,0,70
30/09/2000,30,9,2000,0.747311828,Charlton,Coventry,2,2,D,Rob Styles,12,10,8,0.666666667,6,0.6,6,6,8,16,1,2,0,0,0,3,71
30/09/2000,30,9,2000,0.747311828,Everton,Ipswich,0,3,A,Jeff Winter,7,9,3,0.428571429,7,0.777777778,4,1,6,5,1,0,0,0,1,1,72
30/09/2000,30,9,2000,0.747311828,Leeds,Tottenham,4,3,H,Neale Barry,14,10,7,0.5,5,0.5,6,4,11,20,0,2,0,0,3,0,73
30/09/2000,30,9,2000,0.747311828,Man City,Newcastle,0,1,A,Paul Taylor,9,15,7,0.777777778,9,0.6,10,8,16,12,0,1,0,0,1,1,74
30/09/2000,30,9,2000,0.747311828,Southampton,Middlesbrough,1,3,A,Graham Poll,16,7,8,0.5,5,0.714285714,6,6,6,22,2,2,0,0,1,1,75
30/09/2000,30,9,2000,0.747311828,West Ham,Bradford,1,1,D,Mike Dean,14,9,6,0.428571429,6,0.666666667,7,2,14,10,3,2,0,0,0,3,76
01/10/2000,1,10,2000,0.752688172,Arsenal,Man United,1,0,H,Graham Barber,7,13,5,0.714285714,4,0.307692308,3,11,18,17,2,3,0,0,3,0,77
01/10/2000,1,10,2000,0.752688172,Chelsea,Liverpool,3,0,H,Dermot Gallagher,11,10,5,0.454545455,2,0.2,3,1,14,14,1,1,0,0,3,0,78
01/10/2000,1,10,2000,0.752688172,Sunderland,Leicester,0,0,D,Steve Lodge,11,8,5,0.454545455,2,0.25,6,2,12,8,3,1,0,0,0,3,79
14/10/2000,14,10,2000,0.787634409,Arsenal,Aston Villa,1,0,H,Rob Harris,16,8,10,0.625,3,0.375,7,4,12,20,1,4,0,1,3,0,80
14/10/2000,14,10,2000,0.787634409,Coventry,Tottenham,2,1,H,Peter Jones,0,4,5,#DIV/0!,5,1.25,3,5,12,16,0,4,1,0,3,0,81
14/10/2000,14,10,2000,0.787634409,Everton,Southampton,1,1,D,David Ellaray,7,7,3,0.428571429,4,0.571428571,9,8,16,13,1,3,0,0,0,3,82
14/10/2000,14,10,2000,0.787634409,Ipswich,West Ham,1,1,D,Neale Barry,11,7,8,0.727272727,2,0.285714286,8,5,10,11,0,4,0,0,0,3,83
14/10/2000,14,10,2000,0.787634409,Leeds,Charlton,3,1,H,Mike Dean,22,10,10,0.454545455,8,0.8,8,5,7,9,0,1,0,0,3,0,84
14/10/2000,14,10,2000,0.787634409,Leicester,Man United,0,3,A,Paul Durkin,10,16,4,0.4,5,0.3125,6,7,8,11,0,0,0,0,1,1,85
14/10/2000,14,10,2000,0.787634409,Man City,Bradford,2,0,H,Barry Knight,13,10,10,0.769230769,2,0.2,5,6,10,16,0,2,0,0,3,0,86
14/10/2000,14,10,2000,0.787634409,Sunderland,Chelsea,1,0,H,Jeff Winter,16,11,11,0.6875,2,0.181818182,5,0,12,18,0,1,1,1,3,0,87
15/10/2000,15,10,2000,0.790322581,Derby,Liverpool,0,4,A,Steve Bennett,6,16,0,0,11,0.6875,4,3,18,13,1,1,0,0,1,1,88
16/10/2000,16,10,2000,0.793010753,Middlesbrough,Newcastle,1,3,A,Steve Dunn,8,15,2,0.25,8,0.533333333,6,6,8,13,2,1,0,0,1,1,89
21/10/2000,21,10,2000,0.806451613,Bradford,Ipswich,0,2,A,Paul Taylor,7,12,3,0.428571429,3,0.25,9,1,15,14,1,0,0,0,1,1,90
21/10/2000,21,10,2000,0.806451613,Charlton,Middlesbrough,1,0,H,Mike Riley,5,8,2,0.4,6,0.75,5,6,11,19,2,2,0,0,3,0,91
21/10/2000,21,10,2000,0.806451613,Chelsea,Coventry,6,1,H,Steve Lodge,33,3,19,0.575757576,3,1,10,0,6,8,0,1,0,1,3,0,92
21/10/2000,21,10,2000,0.806451613,Liverpool,Leicester,1,0,H,Andy D'Urso,24,8,11,0.458333333,3,0.375,10,9,8,10,1,2,0,0,3,0,93
21/10/2000,21,10,2000,0.806451613,Man United,Leeds,3,0,H,Jeff Winter,26,5,14,0.538461538,0,0,12,4,9,18,0,2,0,0,3,0,94
21/10/2000,21,10,2000,0.806451613,Newcastle,Everton,0,1,A,Mark Halsey,11,9,4,0.363636364,4,0.444444444,5,4,9,12,1,3,0,0,1,1,95
21/10/2000,21,10,2000,0.806451613,Tottenham,Derby,3,1,H,Mike Dean,18,8,8,0.444444444,7,0.875,7,4,9,16,1,2,0,0,3,0,96
21/10/2000,21,10,2000,0.806451613,West Ham,Arsenal,1,2,A,Dermot Gallagher,11,13,3,0.272727273,5,0.384615385,5,4,15,11,1,0,0,0,1,1,97
22/10/2000,22,10,2000,0.809139785,Aston Villa,Sunderland,0,0,D,Rob Styles,17,7,4,0.235294118,3,0.428571429,7,3,11,17,1,3,0,0,0,3,98
23/10/2000,23,10,2000,0.811827957,Southampton,Man City,0,2,A,Alan Wiley,19,11,6,0.315789474,4,0.363636364,9,3,10,15,1,2,0,0,1,1,99
28/10/2000,28,10,2000,0.825268817,Arsenal,Man City,5,0,H,Rob Styles,22,6,14,0.636363636,2,0.333333333,10,4,6,13,0,3,0,1,3,0,100
28/10/2000,28,10,2000,0.825268817,Aston Villa,Charlton,2,1,H,Dermot Gallagher,12,7,7,0.583333333,4,0.571428571,9,6,13,11,3,2,0,0,3,0,101
28/10/2000,28,10,2000,0.825268817,Chelsea,Tottenham,3,0,H,Steve Dunn,9,6,7,0.777777778,3,0.5,2,3,12,14,3,3,0,0,3,0,102
28/10/2000,28,10,2000,0.825268817,Ipswich,Middlesbrough,2,1,H,Neale Barry,19,7,11,0.578947368,3,0.428571429,6,1,8,17,0,2,0,0,3,0,103
28/10/2000,28,10,2000,0.825268817,Leicester,Derby,2,1,H,Graham Poll,9,7,5,0.555555556,2,0.285714286,7,3,9,18,0,3,0,0,3,0,104
28/10/2000,28,10,2000,0.825268817,Man United,Southampton,5,0,H,Andy D'Urso,16,12,8,0.5,5,0.416666667,7,7,5,9,0,0,0,0,3,0,105
28/10/2000,28,10,2000,0.825268817,Sunderland,Coventry,1,0,H,Alan Wiley,11,10,7,0.636363636,4,0.4,1,3,17,10,2,2,0,0,3,0,106
28/10/2000,28,10,2000,0.825268817,West Ham,Newcastle,1,0,H,Mike Riley,11,12,4,0.363636364,5,0.416666667,3,8,15,10,3,2,0,0,3,0,107
29/10/2000,29,10,2000,0.827956989,Bradford,Leeds,1,1,D,Steve Lodge,11,12,6,0.545454545,9,0.75,5,9,15,15,3,4,0,0,0,3,108
29/10/2000,29,10,2000,0.827956989,Liverpool,Everton,3,1,H,Paul Durkin,10,9,8,0.8,7,0.777777778,9,6,10,10,0,1,0,1,3,0,109
04/11/2000,4,11,2000,0.844086022,Charlton,Bradford,2,0,H,Neale Barry,11,12,7,0.636363636,8,0.666666667,3,6,10,20,0,1,0,1,3,0,110
04/11/2000,4,11,2000,0.844086022,Coventry,Man United,1,2,A,Graham Poll,4,11,2,0.5,6,0.545454545,3,9,17,8,1,1,0,0,1,1,111
04/11/2000,4,11,2000,0.844086022,Leeds,Liverpool,4,3,H,David Ellaray,10,14,7,0.7,8,0.571428571,7,7,18,18,1,4,0,0,3,0,112
04/11/2000,4,11,2000,0.844086022,Man City,Leicester,0,1,A,Mark Halsey,14,3,3,0.214285714,2,0.666666667,9,4,12,14,1,2,0,0,1,1,113
04/11/2000,4,11,2000,0.844086022,Middlesbrough,Arsenal,0,1,A,Andy D'Urso,4,11,3,0.75,8,0.727272727,5,8,10,11,1,1,1,0,1,1,114
04/11/2000,4,11,2000,0.844086022,Newcastle,Ipswich,2,1,H,Alan Wiley,11,8,6,0.545454545,5,0.625,7,4,13,7,1,0,0,0,3,0,115
04/11/2000,4,11,2000,0.844086022,Southampton,Chelsea,3,2,H,Jeff Winter,10,9,4,0.4,4,0.444444444,7,7,16,11,4,2,0,0,3,0,116
04/11/2000,4,11,2000,0.844086022,Tottenham,Sunderland,2,1,H,Dermot Gallagher,11,12,6,0.545454545,3,0.25,8,7,18,9,1,0,1,0,3,0,117
05/11/2000,5,11,2000,0.846774194,Everton,Aston Villa,0,1,A,Steve Lodge,14,4,6,0.428571429,1,0.25,6,2,17,23,3,2,0,0,1,1,118
06/11/2000,6,11,2000,0.849462366,Derby,West Ham,0,0,D,Paul Durkin,14,6,2,0.142857143,6,1,6,1,14,18,1,1,0,0,0,3,119
11/11/2000,11,11,2000,0.862903226,Arsenal,Derby,0,0,D,Steve Lodge,15,9,9,0.6,2,0.222222222,10,0,12,13,0,2,0,0,0,3,120
11/11/2000,11,11,2000,0.862903226,Aston Villa,Tottenham,2,0,H,Barry Knight,11,3,6,0.545454545,2,0.666666667,10,1,15,13,0,3,0,0,3,0,121
11/11/2000,11,11,2000,0.862903226,Bradford,Everton,0,1,A,Rob Harris,11,9,6,0.545454545,4,0.444444444,3,3,8,18,1,2,0,0,1,1,122
11/11/2000,11,11,2000,0.862903226,Ipswich,Charlton,2,0,H,Steve Bennett,30,7,13,0.433333333,4,0.571428571,13,3,8,12,0,2,0,0,3,0,123
11/11/2000,11,11,2000,0.862903226,Leicester,Newcastle,1,1,D,Rob Styles,8,7,4,0.5,1,0.142857143,0,3,7,8,1,1,0,0,0,3,124
11/11/2000,11,11,2000,0.862903226,Man United,Middlesbrough,2,1,H,Paul Durkin,18,5,11,0.611111111,1,0.2,10,0,5,10,0,0,0,0,3,0,125
11/11/2000,11,11,2000,0.862903226,Sunderland,Southampton,2,2,D,Mike Dean,11,10,5,0.454545455,5,0.5,7,4,13,21,1,1,0,0,0,3,126
11/11/2000,11,11,2000,0.862903226,West Ham,Man City,4,1,H,Jeff Winter,22,10,11,0.5,5,0.5,7,5,7,7,1,1,0,0,3,0,127
12/11/2000,12,11,2000,0.865591398,Chelsea,Leeds,1,1,D,Graham Poll,12,11,7,0.583333333,3,0.272727273,3,2,19,24,4,4,0,0,0,3,128
12/11/2000,12,11,2000,0.865591398,Liverpool,Coventry,4,1,H,Mike Riley,19,10,13,0.684210526,5,0.5,7,1,10,12,1,0,0,0,3,0,129
18/11/2000,18,11,2000,0.88172043,Charlton,Chelsea,2,0,H,Paul Durkin,10,13,6,0.6,3,0.230769231,4,5,18,22,2,3,0,0,3,0,130
18/11/2000,18,11,2000,0.88172043,Derby,Bradford,2,0,H,Andy D'Urso,7,7,3,0.428571429,4,0.571428571,2,4,10,18,3,1,0,0,3,0,131
18/11/2000,18,11,2000,0.88172043,Everton,Arsenal,2,0,H,Mike Riley,4,4,2,0.5,2,0.5,3,5,20,12,3,1,0,0,3,0,132
18/11/2000,18,11,2000,0.88172043,Leeds,West Ham,0,1,A,Paul Taylor,15,4,6,0.4,3,0.75,2,2,14,19,1,1,0,0,1,1,133
18/11/2000,18,11,2000,0.88172043,Man City,Man United,0,1,A,Steve Dunn,10,8,4,0.4,4,0.5,10,11,13,8,3,1,0,0,1,1,134
18/11/2000,18,11,2000,0.88172043,Middlesbrough,Leicester,0,3,A,Alan Wiley,11,9,4,0.363636364,7,0.777777778,6,2,8,12,3,1,0,0,1,1,135
18/11/2000,18,11,2000,0.88172043,Newcastle,Sunderland,1,2,A,Graham Poll,19,9,9,0.473684211,6,0.666666667,1,4,17,26,1,3,0,0,1,1,136
18/11/2000,18,11,2000,0.88172043,Southampton,Aston Villa,2,0,H,Peter Jones,7,9,3,0.428571429,3,0.333333333,3,3,10,10,0,0,0,0,3,0,137
19/11/2000,19,11,2000,0.884408602,Tottenham,Liverpool,2,1,H,Mark Halsey,6,9,4,0.666666667,4,0.444444444,6,5,11,13,1,2,0,0,3,0,138
20/11/2000,20,11,2000,0.887096774,Coventry,Ipswich,0,1,A,David Ellaray,12,10,5,0.416666667,4,0.4,5,5,10,12,1,1,0,0,1,1,139
25/11/2000,25,11,2000,0.900537634,Charlton,Sunderland,0,1,A,Steve Dunn,10,8,2,0.2,3,0.375,7,8,16,16,0,1,0,0,1,1,140
25/11/2000,25,11,2000,0.900537634,Coventry,Aston Villa,1,1,D,Jeff Winter,10,7,2,0.2,4,0.571428571,6,1,9,19,1,2,0,0,0,3,141
25/11/2000,25,11,2000,0.900537634,Derby,Man United,0,3,A,David Ellaray,1,12,0,0,7,0.583333333,3,9,12,12,2,1,0,0,1,1,142
25/11/2000,25,11,2000,0.900537634,Everton,Chelsea,2,1,H,Rob Styles,11,10,5,0.454545455,6,0.6,1,4,11,18,0,3,0,1,3,0,143
25/11/2000,25,11,2000,0.900537634,Man City,Ipswich,2,3,A,Mike Dean,9,11,4,0.444444444,4,0.363636364,6,5,8,5,0,2,0,0,1,1,144
25/11/2000,25,11,2000,0.900537634,Middlesbrough,Bradford,2,2,D,Paul Taylor,14,9,9,0.642857143,5,0.555555556,6,4,17,18,0,2,1,0,0,3,145
25/11/2000,25,11,2000,0.900537634,Southampton,West Ham,2,3,A,Steve Bennett,10,14,5,0.5,8,0.571428571,6,10,12,10,1,2,0,0,1,1,146
25/11/2000,25,11,2000,0.900537634,Tottenham,Leicester,3,0,H,Rob Harris,15,11,7,0.466666667,5,0.454545455,5,8,21,15,1,3,0,1,3,0,147
26/11/2000,26,11,2000,0.903225806,Leeds,Arsenal,1,0,H,Dermot Gallagher,12,9,6,0.5,3,0.333333333,8,4,19,22,1,7,0,0,3,0,148
26/11/2000,26,11,2000,0.903225806,Newcastle,Liverpool,2,1,H,Barry Knight,9,13,6,0.666666667,9,0.692307692,5,11,17,15,3,2,0,0,3,0,149
02/12/2000,2,12,2000,0.922043011,Arsenal,Southampton,1,0,H,Steve Dunn,24,7,12,0.5,5,0.714285714,16,8,14,15,0,2,0,0,3,0,150
02/12/2000,2,12,2000,0.922043011,Aston Villa,Newcastle,1,1,D,David Ellaray,8,9,4,0.5,5,0.555555556,8,2,11,12,2,1,0,0,0,3,151
02/12/2000,2,12,2000,0.922043011,Bradford,Coventry,2,1,H,Mike Dean,10,13,6,0.6,7,0.538461538,9,8,11,12,3,2,0,0,3,0,152
02/12/2000,2,12,2000,0.922043011,Ipswich,Derby,0,1,A,Mark Halsey,11,3,5,0.454545455,3,1,6,1,13,13,1,1,0,0,1,1,153
02/12/2000,2,12,2000,0.922043011,Leicester,Leeds,3,1,H,Steve Bennett,8,12,5,0.625,4,0.333333333,0,6,10,7,1,2,0,1,3,0,154
02/12/2000,2,12,2000,0.922043011,Liverpool,Charlton,3,0,H,Rob Styles,13,7,3,0.230769231,2,0.285714286,6,5,10,9,1,1,0,0,3,0,155
02/12/2000,2,12,2000,0.922043011,Man United,Tottenham,2,0,H,Graham Poll,16,5,8,0.5,3,0.6,7,5,7,8,2,1,0,0,3,0,156
02/12/2000,2,12,2000,0.922043011,West Ham,Middlesbrough,1,0,H,Roy Burton,14,5,6,0.428571429,3,0.6,7,5,17,19,1,4,0,1,3,0,157
03/12/2000,3,12,2000,0.924731183,Chelsea,Man City,2,1,H,Dermot Gallagher,9,11,7,0.777777778,5,0.454545455,7,10,9,12,2,0,0,0,3,0,158
04/12/2000,4,12,2000,0.927419355,Sunderland,Everton,2,0,H,Peter Jones,24,7,11,0.458333333,2,0.285714286,8,4,16,23,0,3,0,0,3,0,159
09/12/2000,9,12,2000,0.940860215,Arsenal,Newcastle,5,0,H,Mike Dean,15,3,10,0.666666667,1,0.333333333,5,2,10,11,0,3,0,0,3,0,160
09/12/2000,9,12,2000,0.940860215,Bradford,Tottenham,3,3,D,Neale Barry,13,6,6,0.461538462,4,0.666666667,7,2,6,16,2,0,0,0,0,3,161
09/12/2000,9,12,2000,0.940860215,Charlton,Man United,3,3,D,Steve Lodge,15,15,8,0.533333333,8,0.533333333,9,6,6,10,0,1,0,0,0,3,162
